Identidade da viagem,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Voyage itinerary imputed principal port of slave disembarkation (mjslptimp) place,Year of arrival at port of disembarkation,Slaves arrived at 1st port,Captain's name
113164,Mercúrio,,Rio de Janeiro province,Sao Luis,1778,118,
113165,NS da Abadia,,"Bahia, port unspecified",Sao Luis,1778,51,
113166,NS da Apresentação,,"Pernambuco, port unspecified",Sao Luis,1778,27,
113167,NS da Vitória,,"Bahia, port unspecified",Sao Luis,1778,34,
113168,NS do Pilar,,"Pernambuco, port unspecified",Sao Luis,1778,40,
113169,NS do Rosário,,Rio Grande do Norte,Sao Luis,1778,5,
113170,NS Mãe dos Homens,,"Bahia, port unspecified",Sao Luis,1778,110,
113171,S Antônio,,Paraiba,Sao Luis,1778,24,
113172,S João e S Antônio,,"Bahia, port unspecified",Sao Luis,1778,92,
113173,S Joaquim,,"Pernambuco, port unspecified",Sao Luis,1778,32,
113174,NS de Paula e S José,,"Brazil, port unspecified",Sao Luis,1779,82,"Fernandes, Antônio Luís"
113175,NS da Apresentação,,"Brazil, port unspecified",Sao Luis,1779,13,"Ferreira, Jacinto José"
113176,Ximbirra,,"Brazil, port unspecified",Sao Luis,1779,42,"Luís, Joaquim José"
113177,NS do Livramento,,"Brazil, port unspecified",Sao Luis,1779,11,"Maria, José"
113178,"NS da Luz, S António e Almas",,"Bahia, port unspecified",Sao Luis,1780,50,"Alves, Manoel Pereira"
113179,NS de Nazaré e Santana,,Rio de Janeiro province,Sao Luis,1780,65,"Macedo, José Francisco de"
113180,NS dos Prazeres e Providência,,"Bahia, port unspecified",Sao Luis,1780,43,"Pontes, Félix Antônio de"
113181,NS da Oliveira,,"Bahia, port unspecified",Sao Luis,1780,14,"Ribeiro, José Pinto"
113182,Mercúrio,,Rio de Janeiro province,Sao Luis,1780,55,"Trindade, Manoel Lopes"
113183,Divino Espírito Santo,,"Pernambuco, port unspecified",Sao Luis,1782,33,"Costa, José Corrêa da"
113184,NS da Apresentação,,"Bahia, port unspecified",Sao Luis,1782,10,"José, Jacinto"
113185,S Antônio Áureo,,"Bahia, port unspecified",Sao Luis,1782,37,"Lopes, Alberto José"
113186,NS da Piedade,,"Pernambuco, port unspecified",Sao Luis,1782,13,"Luís, José Ferreira"
113187,"Conceição, S Antônio e Almas",,"Bahia, port unspecified",Sao Luis,1783,71,"Antônio, João"
113188,NS das Maravilhas,,"Bahia, port unspecified",Sao Luis,1783,50,"Belfort, João"
113189,Divino Espírito Santo,,"Bahia, port unspecified",Sao Luis,1783,37,"Costa, José Corrêa da"
113190,NS do Rosário e S Antônio,,"Bahia, port unspecified",Sao Luis,1783,38,"Jorge, Pedro"
113191,NS da Conceição e S Antônio,,"Bahia, port unspecified",Sao Luis,1783,80,"Maia, Antônio Francisco"
113192,NS dos Prazeres e Providência,,"Bahia, port unspecified",Sao Luis,1783,36,"Pontes, Félix Antônio de"
113193,NS da Conceição e S Antônio,,"Bahia, port unspecified",Sao Luis,1783,211,"Santos, Antônio José dos"
113194,S Antônio Áureo,,"Bahia, port unspecified",Sao Luis,1784,50,"Lopes, Alberto José"
113195,NS do Bonfim,,"Bahia, port unspecified",Sao Luis,1784,94,"Neves, Manoel Pereira"
113196,Alecrim,,"Bahia, port unspecified",Sao Luis,1784,198,"Rocha, Antônio Guedes da"
113197,NS da Apresentação,,"Bahia, port unspecified",Sao Luis,1785,53,"Ferreira, Jacinto José"
113198,NS da Guia,,"Pernambuco, port unspecified",Sao Luis,1785,33,"Maia, Antônio Francisco"
113199,NS do Rosário,,"Pernambuco, port unspecified",Sao Luis,1785,52,"Mota, Antônio da"
113200,NS do Bonfim,,"Bahia, port unspecified",Sao Luis,1785,107,"Neves, Manoel Pereira"
113201,NS da Conceição,,"Pernambuco, port unspecified",Sao Luis,1785,12,"Souza, Francisco Félix de"
113202,NS da Conceição,,"Bahia, port unspecified",Sao Luis,1785,66,"Tábuas, João Antônio"
113203,"Espírito Santo, S Antônio e Almas",,"Pernambuco, port unspecified",Sao Luis,1786,104,"Dias, Manoel Moreira"
113204,"Conceição, S Antônio e Almas",,"Pernambuco, port unspecified",Sao Luis,1786,28,"Falcão, Francisco da Silva"
113205,Bom Jesus dos Navegantes,,"Bahia, port unspecified",Sao Luis,1786,127,"Neves, Manoel Pereira"
113206,Espírito Santo,,"Pernambuco, port unspecified",Sao Luis,1787,57,"Almeida, Manoel Levi de"
113207,NS da Conceição e Almas,,"Pernambuco, port unspecified",Sao Luis,1787,46,"Branco, Antônio Francisco"
113208,NS da Apresentação,,"Bahia, port unspecified",Sao Luis,1787,115,"Cotrim, Miguel"
113209,NS da Lapa,,"Pernambuco, port unspecified",Sao Luis,1787,58,"Francisco, Manoel"
113210,NS Mãe dos Homens,,"Bahia, port unspecified",Sao Luis,1787,114,"Leal, José Dias"
113211,"Conceição, Senhor Jesus de Bouças",,"Pernambuco, port unspecified",Sao Luis,1787,68,"Moniz, Manoel"
113212,NS das Maravilhas,,"Bahia, port unspecified",Sao Luis,1787,42,"Santos, José Antônio dos"
113213,Sertória,,"Bahia, port unspecified",Sao Luis,1787,200,"Seixas, Antônio José de"
113214,NS da Conceição e S Francisco,,"Pernambuco, port unspecified",Sao Luis,1788,114,"Falcão, Francisco da Silva"
113215,NS da Apresentação,,"Bahia, port unspecified",Sao Luis,1788,109,"Ferreira, Jacinto José"
113216,NS dos Anjos,,"Pernambuco, port unspecified",Sao Luis,1788,34,"Franco, José Antônio"
113217,Prazeres,,"Pernambuco, port unspecified",Sao Luis,1788,13,"Franco, Jose dos Santos"
113218,Santana e S Miguel,,Tapaje,Sao Luis,1788,13,"Lemos, José Francisco de"
113219,NS da Guia,,"Pernambuco, port unspecified",Sao Luis,1788,68,"Maia, Antônio Francisco"
113220,Bom Jesus de Bouças,,Rio Grande do Norte,Sao Luis,1788,7,"Moniz, Manoel"
113221,Vale da Piedade,,"Bahia, port unspecified",Sao Luis,1788,221,"Neves, Manoel Pereira"
113222,NS da Conceição e S Antônio,,"Bahia, port unspecified",Sao Luis,1788,83,"Rosa, Manoel Gonçalves"
113223,NS da Conceição e S Miguel,,"Bahia, port unspecified",Sao Luis,1788,120,"Simões, José do Carmo"
113224,NS da Vitória,,"Pernambuco, port unspecified",Sao Luis,1789,80,"Branco, Antônio Francisco"
113225,NS da Mente,,"Pernambuco, port unspecified",Sao Luis,1789,58,"Espírito Santo, José Félix do"
113226,S António Vale da Piedade,,"Bahia, port unspecified",Sao Luis,1789,193,"Neves, Manoel Pereira"
113227,"Conceição, S Antônio e Almas",,"Pernambuco, port unspecified",Sao Luis,1789,73,"Porsincula, Manoel Fernandes da"
113228,Trindade e Santíssimo Sacramento,,"Bahia, port unspecified",Sao Luis,1789,155,"Tábuas, João Antônio"
113229,NS Mãe dos Homens,,"Pernambuco, port unspecified",Sao Luis,1790,81,"Coelho, Francisco"
113230,Conceição e S Francisco de Paula,,"Pernambuco, port unspecified",Sao Luis,1790,188,"Evangelista, Lucas"
113231,NS da Apresentação,,"Bahia, port unspecified",Sao Luis,1790,80,"Ferreira, Jacinto José"
113232,NS do Bonfim,,"Pernambuco, port unspecified",Sao Luis,1790,8,"Lages, Domingos Antônio"
113233,Santíssima Trindade,,"Bahia, port unspecified",Sao Luis,1791,198,"Cotrim, Miguel"
113234,S Antônio Vale da Piedade,,"Bahia, port unspecified",Sao Luis,1791,187,"Neves, Manoel Pereira"
113235,NS do Rosário,,"Pernambuco, port unspecified",Sao Luis,1791,33,"Pinheiro, Domingos José"
113236,Conçeição e S Antônio,,"Pernambuco, port unspecified",Sao Luis,1791,41,"Silva, Luís da"
113237,Sacramento e Almas,,"Bahia, port unspecified",Sao Luis,1792,100,"Silva, José Francisco da"
113238,Senhora do Monte,,"Pernambuco, port unspecified",Sao Luis,1793,47,"Álvares, Isidoro"
113239,Corpo Santo,,"Pernambuco, port unspecified",Sao Luis,1793,184,"Coelho, João"
113240,NS da Apresentação,,"Bahia, port unspecified",Sao Luis,1793,74,"Ferreira, Jacinto José"
113241,Correio de Angola,,"Pernambuco, port unspecified",Sao Luis,1793,211,"Flamante, Manoel Francisco"
113242,Minerva,,Rio Grande do Norte,Sao Luis,1793,13,"Leão, José das Neves"
113243,NS do Monte do Carmo,,"Pernambuco, port unspecified",Sao Luis,1793,233,"Morais, José Antônio de"
113244,S António Vale da Piedade,,"Bahia, port unspecified",Sao Luis,1793,274,"Neves, Manoel Pereira"
113245,S José e Almas,,"Pernambuco, port unspecified",Sao Luis,1793,29,"Pereira, Joaquim José"
113246,S José e Almas,,Aracaty,Sao Luis,1793,13,"Pereira, Joaquim José"
113247,NS de Guadalupe,,"Pernambuco, port unspecified",Sao Luis,1793,24,"Pereira, Manoel"
113248,NS do Monte,,"Pernambuco, port unspecified",Sao Luis,1793,108,"Pinto, Francisco Antônio"
113249,"Conceição, S Antônio e Almas",,Rio Grande do Norte,Sao Luis,1794,118,"Alves, Isidoro"
113250,Vitória,,"Pernambuco, port unspecified",Sao Luis,1794,38,"Cardoso, Francisco Antônio"
113252,NS da Misericórdia,,"Pernambuco, port unspecified",Sao Luis,1794,112,"Joaquim, José"
113253,"Conceição, S Antônio e Almas",,"Pernambuco, port unspecified",Sao Luis,1794,260,"José, Inácio"
113254,S Rita,,"Pernambuco, port unspecified",Sao Luis,1794,134,"Marques, Manoel Martins"
113255,NS da Apresentação,,"Bahia, port unspecified",Sao Luis,1794,87,"Mendes, João"
113256,NS das Neves,,"Pernambuco, port unspecified",Sao Luis,1794,38,"Monteiro, Manoel"
113257,"Conceição, S Antônio e Almas",,"Pernambuco, port unspecified",Sao Luis,1794,200,"Picanço, José Corrêa"
113258,"Conceição, S Antônio e Almas",,"Pernambuco, port unspecified",Sao Luis,1794,53,"Souza, José Joaquim de"
113259,S Rita,,"Pernambuco, port unspecified",Sao Luis,1795,71,"Álvares, Isidoro"
113260,S António Sertório,,"Pernambuco, port unspecified",Sao Luis,1795,292,"Antunes, João Xavier"
113261,S José e Almas,,"Pernambuco, port unspecified",Sao Luis,1795,30,"Porsincula, Manoel Fernandes da"
113262,Santíssimo Sacramento,,"Bahia, port unspecified",Sao Luis,1795,155,"Santos, Manoel Pinto dos"
113263,Servido,,"Pernambuco, port unspecified",Sao Luis,1795,58,"Santos, Martinho José dos"
113264,S Rita,,"Pernambuco, port unspecified",Sao Luis,1796,92,"Alves, Isidoro"
113265,"Piedade, S Antônio e Almas",,"Bahia, port unspecified",Sao Luis,1796,112,"Ferreira, Jacinto José"
113266,Bom Jardim,,"Pernambuco, port unspecified",Sao Luis,1796,23,"Magalhães, Francisco Antônio Pontes"
113267,Corpo Santo,,"Pernambuco, port unspecified",Sao Luis,1796,164,"Medeiros, Luís José de"
113268,Santíssimo Sacramento,,"Bahia, port unspecified",Sao Luis,1796,236,"Santos, Manoel Pinto dos"
113269,NS da Vitória,,"Pernambuco, port unspecified",Sao Luis,1796,200,"Veigas, João Pedro"
113270,Paquete do Maranhão,,"Bahia, port unspecified",Sao Luis,1796,89,"Xavier, Manoel José"
113271,Conceição,,"Pernambuco, port unspecified",Sao Luis,1797,72,"Cruz, Francisco Antônio da"
113272,NS de Guadalupe,,"Bahia, port unspecified",Sao Luis,1797,68,"Martins, Isidoro"
